OBJECTID,x,y,Sheltered_Coastline,Geomorphology_Hazard,Elevation_Hazard,Sea_Level_Rise_Hazard,Wave_Hazard,storm_surge_hazard,Erosion_Rate_Hazard,Forest_Present,Marsh_Present,Dune_Present,Oyster_Reef_Present,Underwater_Grass_Present,Hazard_with_Habitats,Hazard_without_Habitats,Hazard_Reduction_by_Habitats,Community_Flood_Risk_Max,Community_Flood_Risk_Nearest,Shoreline_Priority_Area,County,EI_wHAB,EI_woHAB,hab_role,NearRiskD,Latitude,Longitude
5887,325298.774493,4290447.23155,Yes,Low,Very Low,Moderate,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,High,Low,n/a,Prince George's,1.54594004,1.79481995,0.248881,104.40843201,38.74340137,-77.00945347
5888,365048.774493,4290447.23155,No,Low,Very Low,Moderate,Moderate,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Moderate,Tier 2,Anne Arundel,1.75875998,2.0998199,0.34106201,90.08189392,38.75251852,-76.55402503
5889,380548.774493,4290447.23155,No,Moderate,High,High,High,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.72315001,3.25123,0.52807897,3133.35449219,38.75263603,-76.37510092
5890,380798.774493,4290447.23155,No,High,High,High,Moderate,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.72315001,3.25123,0.52807897,2832.61816406,38.75331504,-76.37170584
5891,381548.774493,4290447.23155,Yes,High,High,High,Moderate,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.72315001,3.25123,0.52807897,2095.82910156,38.75458162,-76.36331658
5892,383298.774493,4290447.23155,No,Very High,High,High,High,Moderate,High,Yes,Yes,No,No,No,High,High,High,Very High,Very High,Tier 1,Talbot,3.42707992,4.09167004,0.66458702,35.63396835,38.75512703,-76.33912831
5893,386048.774493,4290447.23155,Yes,Low,High,High,Moderate,Moderate,Very Low,No,Yes,No,Yes,No,Moderate,Moderate,Low,Very High,Low,n/a,Talbot,2.55899,2.82614994,0.26715499,575.77966309,38.75475081,-76.31299142
5894,386798.774493,4290447.23155,Yes,Low,High,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,0,38.75401343,-76.30104845
5895,387798.774493,4290447.23155,Yes,Low,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.10818005,2.51699996,0.408822,70.10990143,38.75559862,-76.29008655
5896,389298.774493,4290447.23155,Yes,Moderate,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,118.51078033,38.75579175,-76.27397759
5897,390548.774493,4290447.23155,Yes,Low,High,High,Low,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.4016099,2.77899003,0.37738499,268.53393555,38.75603421,-76.26038926
5898,390798.774493,4290447.23155,Yes,Low,High,High,Low,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.4016099,2.77899003,0.37738499,30.41020203,38.75771974,-76.25593809
5899,392048.774493,4290447.23155,Yes,Low,High,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,53.77060318,38.7559516,-76.24376915
5900,392798.774493,4290447.23155,Yes,Moderate,High,High,Moderate,Very High,Low,Yes,No,No,No,Yes,High,High,High,Very High,Moderate,Tier 1,Talbot,3.07116008,3.55669999,0.48554099,655.91394043,38.75650413,-76.2315767
5901,393298.774493,4290447.23155,Yes,High,High,High,Low,Very Low,Low,Yes,No,No,No,Yes,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.39962006,2.77899003,0.379372,371.09457397,38.75625172,-76.22802633
5902,397548.774493,4290447.23155,Yes,Very Low,High,High,Moderate,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.30490994,2.66709995,0.36219001,0,38.75554527,-76.17948789
5903,397798.774493,4290447.23155,Yes,Low,High,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,2.45526266,38.75478127,-76.17711817
5904,398298.774493,4290447.23155,Yes,Low,High,High,Moderate,Very Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.23390007,2.66709995,0.433202,0,38.75558053,-76.16851732
5905,402798.774493,4290447.23155,Yes,Low,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,146.44267273,38.75718526,-76.11953282
5906,403048.774493,4290447.23155,Yes,High,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,High,Tier 1,Talbot,2.46641994,2.94471002,0.478293,291.84963989,38.75883873,-76.11578535
5907,323798.774493,4290197.23155,No,Very Low,Very Low,Moderate,High,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,Low,n/a,Prince George's,1.54594004,1.79481995,0.248881,2.3852098,38.7416265,-77.02587975
5908,364798.774493,4290197.23155,No,Low,Very Low,Moderate,Moderate,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,Low,Tier 2,Anne Arundel,1.75875998,2.0998199,0.34106201,69.05751801,38.74987941,-76.55456372
5909,380298.774493,4290197.23155,No,High,High,High,High,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.83738995,3.38762999,0.55023301,3178.79833984,38.75242224,-76.37559838
5910,380798.774493,4290197.23155,Yes,High,High,High,Moderate,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.72315001,3.25123,0.52807897,2898.76611328,38.75273371,-76.37240029
5911,381548.774493,4290197.23155,Yes,High,High,High,Moderate,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.72315001,3.25123,0.52807897,2081.1184082,38.75255945,-76.36288666
5912,383298.774493,4290197.23155,No,Very High,High,High,High,Moderate,Low,Yes,Yes,No,No,No,High,High,High,Very High,Moderate,Tier 1,Talbot,3.10399008,3.70591998,0.60193199,340.70593262,38.75187309,-76.34043294
5913,386048.774493,4290197.23155,Yes,Low,High,High,Moderate,Moderate,Low,No,Yes,No,Yes,No,Moderate,High,Low,Very High,Very High,Tier 1,Talbot,2.82536006,3.12032008,0.29496199,696.75500488,38.75302036,-76.31233927
5914,386548.774493,4290197.23155,Yes,Low,High,High,Moderate,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.46641994,2.94471002,0.478293,57.77770996,38.75241478,-76.30321674
5915,389048.774493,4290197.23155,Yes,Low,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.10818005,2.51699996,0.408822,131.5675354,38.75349783,-76.27560234
5916,390548.774493,4290197.23155,Yes,Low,High,High,Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.46641994,2.94471002,0.478293,438.20565796,38.75365298,-76.25959162
5917,390798.774493,4290197.23155,Yes,Low,High,High,Low,Moderate,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.54482007,2.94471002,0.39989001,395.50204468,38.75413139,-76.2590349
5918,391798.774493,4290197.23155,Yes,Very Low,High,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.10818005,2.51699996,0.408822,60.91241837,38.75398714,-76.2451549
5919,392798.774493,4290197.23155,Yes,Moderate,High,High,Moderate,Very High,Low,Yes,No,No,No,Yes,High,High,High,Very High,Moderate,Tier 1,Talbot,3.07116008,3.55669999,0.48554099,647.59643555,38.75561912,-76.23135545
5920,393298.774493,4290197.23155,Yes,Moderate,High,High,Low,Very Low,Low,Yes,No,No,No,Yes,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.30299997,2.66709995,0.364097,415.91625977,38.75393327,-76.22925509
5921,395298.774493,4290197.23155,Yes,Moderate,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,273.4758606,38.75365074,-76.2042482
5922,395548.774493,4290197.23155,Yes,Moderate,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,175.15116882,38.75393616,-76.20057566
5923,398048.774493,4290197.23155,Yes,Low,High,High,Low,Low,Very Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.10818005,2.51699996,0.408822,148.70175171,38.75342958,-76.17398345
5924,402548.774493,4290197.23155,Yes,Very High,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,Very High,Low,Tier 1,Talbot,2.54630995,3.0401001,0.49378601,61.96915436,38.75469645,-76.12237745
5925,402798.774493,4290197.23155,Yes,Low,Moderate,High,Low,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.30490994,2.66709995,0.36219001,0,38.75552402,-76.11935435
5926,403548.774493,4290197.23155,Yes,Low,Moderate,High,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,1.83254004,2.18791008,0.355371,0.57834393,38.75424517,-76.10857266
5927,323548.774493,4289947.23155,No,Very Low,Very Low,Moderate,High,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,High,n/a,Prince George's,1.54594004,1.79481995,0.248881,54.44784546,38.73965691,-77.02844905
5928,364798.774493,4289947.23155,Yes,Moderate,Very Low,Moderate,Moderate,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,Low,Tier 2,Anne Arundel,1.86363995,2.22503996,0.36140099,39.53821945,38.74808024,-76.55600184
5929,380548.774493,4289947.23155,No,Moderate,High,High,High,Low,Low,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,2.72315001,3.25123,0.52807897,3032.14355469,38.75120509,-76.37372948
5930,381048.774493,4289947.23155,No,High,High,High,High,Low,High,Yes,Yes,No,No,No,High,High,High,n/a,n/a,n/a,Talbot,3.13274002,3.7402401,0.60750699,2584.65942383,38.75050178,-76.36863515
5931,381798.774493,4289947.23155,Yes,Moderate,High,High,High,Low,High,Yes,Yes,No,No,No,Moderate,High,High,Moderate,Moderate,Tier 1,Talbot,3.0065999,3.58964992,0.58304602,1959.65600586,38.74959953,-76.36146718
5932,383298.774493,4289947.23155,No,Very High,High,High,High,Moderate,Moderate,Yes,Yes,No,No,No,High,High,High,Very High,Moderate,Tier 1,Talbot,3.28908992,3.92691994,0.63782698,357.82833862,38.75012038,-76.34082112
5933,386048.774493,4289947.23155,Yes,High,High,High,Moderate,Moderate,Low,No,Yes,No,No,No,High,High,Moderate,Very High,Very High,Tier 2,Talbot,3.12915993,3.44511008,0.31595299,481.86767578,38.75083214,-76.31213141
5934,386798.774493,4289947.23155,Yes,Low,High,High,Moderate,Low,Very Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,167.5993042,38.751125,-76.3024954
5935,388048.774493,4289947.23155,Yes,Low,High,High,Very Low,High,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.4016099,2.77899003,0.37738499,64.29872894,38.75081881,-76.2893732
5936,388298.774493,4289947.23155,Yes,Low,High,High,Very Low,High,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,238.32978821,38.75113249,-76.28550469
5937,388798.774493,4289947.23155,Yes,Moderate,High,High,Very Low,Moderate,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.44235992,2.82614994,0.383789,444.5612793,38.7512224,-76.27970466
5938,389048.774493,4289947.23155,Yes,Moderate,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,131.34846497,38.75113984,-76.27609885
5939,390298.774493,4289947.23155,Yes,Moderate,High,High,Very Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.36711001,2.82614994,0.45903501,453.03366089,38.7514184,-76.26247438
5940,390798.774493,4289947.23155,Yes,Low,High,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,0,38.75107963,-76.25465563
5941,392048.774493,4289947.23155,Yes,Low,High,High,Moderate,Very High,Low,Yes,Yes,No,No,No,Moderate,High,High,Very High,Moderate,Tier 1,Talbot,2.81135011,3.35653996,0.54518402,68.51049805,38.75103554,-76.24371031
5942,393048.774493,4289947.23155,Yes,Moderate,High,High,Moderate,Very Low,Low,Yes,Yes,No,No,Yes,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.36492991,2.82614994,0.46121901,506.2979126,38.75147458,-76.23018415
5943,393298.774493,4289947.23155,Yes,Moderate,High,High,Low,Very Low,Low,Yes,Yes,No,No,Yes,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23182988,2.66709995,0.43526199,423.66897583,38.75208953,-76.22937721
5944,394548.774493,4289947.23155,Yes,Low,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.10818005,2.51699996,0.408822,39.44832993,38.7519261,-76.21392991
5945,397798.774493,4289947.23155,Yes,Low,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.10818005,2.51699996,0.408822,0,38.75234264,-76.17623308
5946,402048.774493,4289947.23155,Yes,High,Moderate,High,Very Low,Very Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.02328992,2.41564989,0.39236099,23.74138451,38.75249108,-76.12723707
5947,402548.774493,4289947.23155,Yes,Low,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,6.31248188,38.75292975,-76.12151443
5948,403048.774493,4289947.23155,Yes,Low,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.23390007,2.66709995,0.433202,9.88570404,38.75334452,-76.11592927
5949,403298.774493,4289947.23155,Yes,Low,Moderate,High,Very Low,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Talbot,2.08761001,2.41564989,0.328044,0,38.75251067,-76.11241422
5950,413048.774493,4289947.23155,Yes,Very High,Low,High,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Talbot,1.97126997,2.35354996,0.38227299,1080.09326172,38.75400938,-76.00130109
5951,323298.774493,4289697.23155,No,Very High,Very Low,Moderate,High,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Moderate,Moderate,Very High,High,Tier 2,Prince George's,1.94556999,2.25878,0.313216,249.46485901,38.73780626,-77.02906821
5952,364548.774493,4289697.23155,No,Low,Very Low,Moderate,Moderate,Very Low,Very Low,Yes,Yes,No,No,No,Low,Low,Moderate,High,Low,Tier 2,Anne Arundel,1.59294999,1.90186,0.30890799,16.99703979,38.74545294,-76.55735195
5953,381298.774493,4289697.23155,No,Moderate,High,High,High,Low,High,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,3.0065999,3.58964992,0.58304602,2440.94238281,38.74863392,-76.36752525
5954,381548.774493,4289697.23155,No,Moderate,High,High,High,Low,High,Yes,Yes,No,No,No,Moderate,High,High,n/a,n/a,n/a,Talbot,3.0065999,3.58964992,0.58304602,2089.98242188,38.74856193,-76.36340505
5955,383298.774493,4289697.23155,No,Low,High,High,High,Very Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,500.53372192,38.7484513,-76.34194356
5956,385298.774493,4289697.23155,Yes,Low,High,High,Very Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.23390007,2.66709995,0.433202,56.87536621,38.74840934,-76.31910877
5957,385798.774493,4289697.23155,Yes,Low,High,High,Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,Tier 1,Talbot,2.46641994,2.94471002,0.478293,173.61065674,38.7479501,-76.31262985
5958,387048.774493,4289697.23155,Yes,Low,High,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,142.6862793,38.74958808,-76.2996767
5959,387798.774493,4289697.23155,Yes,Low,High,High,Very Low,High,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,74.24462128,38.74791725,-76.28986529
5960,388548.774493,4289697.23155,Yes,Low,High,High,Very Low,Moderate,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.30490994,2.66709995,0.36219001,578.10314941,38.74939647,-76.28146119
5961,389048.774493,4289697.23155,Yes,Low,High,High,Very Low,High,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,118.84464264,38.74851723,-76.27625349
5962,389548.774493,4289697.23155,Yes,Low,High,High,Very Low,High,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,100.65830231,38.74895956,-76.27081449
5963,390548.774493,4289697.23155,Yes,Low,High,High,Low,Moderate,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.54482007,2.94471002,0.39989001,431.28042603,38.74861796,-76.26002221
5964,391048.774493,4289697.23155,Yes,Low,High,High,Moderate,Very High,Very Low,Yes,Yes,No,No,No,Moderate,High,High,Very High,Moderate,Tier 1,Talbot,2.54630995,3.0401001,0.49378601,33.76401138,38.74906332,-76.25388802
5965,391298.774493,4289697.23155,Yes,Low,High,High,Moderate,Very High,Very Low,Yes,Yes,No,No,No,Moderate,High,High,Very High,Moderate,Tier 1,Talbot,2.54630995,3.0401001,0.49378601,60.10434723,38.74930738,-76.25090623
5966,391548.774493,4289697.23155,Yes,Very Low,High,High,Moderate,Very High,Very Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.3062501,2.75348997,0.44723299,21.7835598,38.74924219,-76.24805471
5967,391798.774493,4289697.23155,Yes,Low,High,High,Moderate,Very High,Low,Yes,Yes,No,No,No,Moderate,High,High,Very High,Very High,Tier 1,Talbot,2.81135011,3.35653996,0.54518402,37.89037704,38.7489461,-76.24516743
5968,393548.774493,4289697.23155,Yes,Low,High,High,Moderate,Low,Moderate,Yes,No,No,No,Yes,Moderate,High,Moderate,Very High,Moderate,Tier 1,Talbot,2.69435,3.12032008,0.42596799,29.73283577,38.75076683,-76.22387864
5969,393798.774493,4289697.23155,Yes,Low,High,High,Low,Low,Moderate,Yes,No,No,No,Yes,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.54272008,2.94471002,0.401995,18.76959419,38.74990682,-76.22194466
5970,394548.774493,4289697.23155,Yes,Moderate,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.23390007,2.66709995,0.433202,13.94468784,38.74987316,-76.21329982
5971,395548.774493,4289697.23155,Yes,Low,High,High,Very Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.23390007,2.66709995,0.433202,27.2613163,38.74954635,-76.20278436
5972,397798.774493,4289697.23155,Yes,Very Low,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,1.90943003,2.27970004,0.37028,12.94130135,38.75001883,-76.17620569
5973,402048.774493,4289697.23155,Yes,Low,Moderate,High,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,1.83254004,2.18791008,0.355371,0,38.75053777,-76.12610029
5974,402298.774493,4289697.23155,Yes,Moderate,Moderate,High,Low,Very Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.21210003,2.55971003,0.347606,91.80493927,38.75098427,-76.12398695
5975,402798.774493,4289697.23155,Yes,Very Low,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Talbot,2.02328992,2.41564989,0.39236099,36.15855026,38.75138481,-76.11751722
5976,403048.774493,4289697.23155,Yes,Low,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Talbot,2.23390007,2.66709995,0.433202,19.91560173,38.7511216,-76.116266
5977,413048.774493,4289697.23155,Yes,Very High,Low,High,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Talbot,1.97126997,2.35354996,0.38227299,1081.99487305,38.75167315,-76.00166614
5978,413298.774493,4289697.23155,Yes,Very High,Low,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,n/a,Caroline,2.40300989,2.86900997,0.465996,717.10235596,38.75257753,-75.99733044
5979,323298.774493,4289447.23155,No,Very High,Very Low,Moderate,High,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Moderate,Moderate,Very High,Low,Tier 2,Prince George's,1.94556999,2.25878,0.313216,427.90744019,38.73583955,-77.02938301
5980,364798.774493,4289447.23155,Yes,Very Low,Very Low,Moderate,Moderate,Very Low,Very Low,No,Yes,No,No,No,Low,Low,Low,High,Low,n/a,Anne Arundel,1.56457996,1.72256005,0.157976,150.1053772,38.74296568,-76.55693551
5981,383298.774493,4289447.23155,No,Low,High,High,High,Very Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.32762003,2.77899003,0.45137599,284.10058594,38.74651596,-76.34106666
5982,385298.774493,4289447.23155,Yes,Low,High,High,Very Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.23390007,2.66709995,0.433202,72.86561584,38.74589546,-76.31892567
5983,386048.774493,4289447.23155,Yes,Low,High,High,Moderate,Moderate,Low,Yes,No,No,No,No,Moderate,High,Moderate,Very High,Moderate,Tier 1,Talbot,2.69657993,3.12032008,0.42373699,105.71644592,38.74583996,-76.31193932
5984,387048.774493,4289447.23155,Yes,Low,High,High,Low,Moderate,Moderate,Yes,Yes,No,No,No,Moderate,High,High,Very High,Very High,Tier 1,Talbot,2.61350012,3.12032008,0.50681603,0,38.74720008,-76.2968233
5985,388548.774493,4289447.23155,Yes,Low,High,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.10818005,2.51699996,0.408822,460.57546997,38.74666447,-76.28306632
5986,388798.774493,4289447.23155,Yes,Low,High,High,Low,Moderate,Moderate,Yes,Yes,No,No,No,Moderate,High,High,Very High,Moderate,Tier 1,Talbot,2.61350012,3.12032008,0.50681603,306.78607178,38.74688095,-76.27894096
5987,389048.774493,4289447.23155,Yes,Moderate,High,High,Low,High,Low,Yes,Yes,No,No,No,Moderate,High,High,Very High,Moderate,Tier 1,Talbot,2.72315001,3.25123,0.52807897,146.61320496,38.74689166,-76.27693635
5988,389548.774493,4289447.23155,Yes,Low,High,High,Very Low,High,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.4016099,2.77899003,0.37738499,44.69760895,38.7471899,-76.2705976
5989,390048.774493,4289447.23155,Yes,Low,High,High,Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.46641994,2.94471002,0.478293,441.69509888,38.74768455,-76.26423815
5990,390298.774493,4289447.23155,Yes,Low,High,High,Low,Moderate,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.46641994,2.94471002,0.478293,615.96575928,38.7473219,-76.26215979
5991,394048.774493,4289447.23155,Yes,Very High,High,High,Low,Low,Low,Yes,No,No,No,Yes,Moderate,High,Moderate,Very High,Very High,Tier 1,Talbot,2.73520994,3.16763997,0.432428,0.41234538,38.74787985,-76.21826429
5992,394798.774493,4289447.23155,Yes,Low,High,High,Very Low,Very High,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Moderate,Tier 1,Talbot,2.40300989,2.86900997,0.465996,28.88931656,38.74789436,-76.20961167
5993,395798.774493,4289447.23155,Yes,Low,High,High,Very Low,Moderate,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,2.30490994,2.66709995,0.36219001,67.17506409,38.74721117,-76.19961892
5994,397798.774493,4289447.23155,Yes,Low,High,High,Very Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Moderate,Tier 2,Talbot,1.72941005,2.06478,0.33537099,0,38.7477558,-76.17585964
5995,400798.774493,4289447.23155,Yes,Low,Moderate,High,Very Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Talbot,2.02328992,2.41564989,0.39236099,75.03627014,38.74799867,-76.14132123
5996,402298.774493,4289447.23155,Yes,Very Low,Moderate,High,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,1.83254004,2.18791008,0.355371,0,38.7486544,-76.12469034
5997,403048.774493,4289447.23155,Yes,Very Low,Moderate,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Talbot,2.02328992,2.41564989,0.39236099,4.86155272,38.74855049,-76.11648725
5998,413048.774493,4289447.23155,Yes,Very High,Low,High,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Talbot,1.97126997,2.35354996,0.38227299,907.5435791,38.74924549,-76.00146465
5999,413548.774493,4289447.23155,Yes,Very High,Low,High,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,n/a,Caroline,2.40300989,2.86900997,0.465996,559.58422852,38.74974268,-75.9950172
